question,answer,context_id
Why was the author terrified of learning to drive?,"If the author got a headache while driving, it might lead to danger for others.",24751
The former Soviet Union was  the   _   to get to space .,first,26408
What type of doctor might the person have had to see ?,a gynaecologist,8970
What was the outcome of the modest turnout on the morale of the band ?,They looked for new ways to get their name out there and bring people to their shows,30611
Why may i be taking this class ?,To learn more about words,46012
What may be the reason for their mother 's advice ?,Their mother wants to protect them .,30117
From the text we learn that   _  .,an unhealthy diet can lead to serious health problems,58587
What is something that we know about the people in this room ?,They like to swap partners .,56128
Which of the following is true?,There are no effective drugs to treat Ebola by far.,34976
Why did the student think he wasn't going to graduate?,because he couldn't pass physics,10356
The historian probably believes that,friendship with Macron is good for Trump,27785
It can be inferred from the passage that Krishnan   _  .,may meet cold response from the poor people,4141
What sport is the narrator watching ?,They 're watching American football .,6282
We can learn from the passage that   _  .,dropping out of college may not help students get career benefits,3720
Which of the following doesn't help produce a black hole?,The dying star shines very brightly.,18786
Why is the narrator deciding to yodel ?,They are trying to get turkeys to behave .,24176
"When the artist Dave Dorman ,creator of the cover illustrations for the new King Kong comic books says ""Sometimes an ape is just an ape."" , he probably means  _  .",the story has nothing to do with social or political issues,58607
Who slit his arm?,The person found in the restroom cubicle.,22698
Why is the narrator upset at the quitting band member ?,The narrator feels the band member did not tell the truth .,47746
What may the passage talk about next?,Ways to stay away from phubbing,33400
What does grandpa do to relax?,sit under a tree outside,52590
Which is true according to the passage?,Jeanette believed that no war was right.,3655
Members of the Wellington book club are expected to   _  .,read peacefully for an hour,12120
She lit her nail on fire:,Before eating.,32838
What does this passage sound most like ?,an ad,5881
When was David Gauntlett inspired to write his newest book?,after reading Tim Ingold’s book,15167
How is the writer most likely feeling about the current situation ?,They are unsure of how they 'll fit in with everyone .,36085
What is the main purpose of the passage?,To state an education idea.,11273
How old is the author's other child?,not enough information,3306
The gas prices of a station always change partly because   _  .,the cost of the gas the station buys varies daily,49385
The author probably believes that:,art is a refreshing hobby,10389
What is putting pressure on the local supply of clean water?,The population of the area is growing fast.,6277
What did the police mainly want people to do?,Offer their dogs to be Police Dogs.,19379
Someone saying bad words about you behind your back might make you   _  .,see red,54893
Why is the narrator grateful for their blog ?,They found a dear lover through it .,40927
Why did Trump enact the tariffs,Because he was tired of what other countries were doing,45039
A person will be admitted into Relay for Life on condition that he/she    .,pays $10 when registering,32744
What is probably true about Kim Hyun-wook?,Hyun-wook works at a school.,2128
"Through the story, Hemingway wants to show us that  _  .",to keep going is the spirit we should have in life,52582
Trump probably feels how about being accused of sexual misconduct?,mad,134
What was the device filled with?,stuff that promotes good mood,50427
When did Tanni win her first Olympic gold medal?,In 1992.,991
The purpose of the writer is to  _  .,share with us his experience of reading,14475
"During the treatment, Andrea   _  .",showed unbelievable strength.,2728
This passage mainly tells us that   _  .,my mother helped us to form a good habit,10154
What is probably true about the author's husband?,He is homosexual,45864
What may be a plausible fact about Bianca 's relationship with her sister ?,Bianca does not like her sister .,19352
We can learn from the passage that  _,the Ministry of Education supports the reform,10649
What has contributed to the rapid economic growth in China and India?,Free market plus government intervention.,12875
Why was the narrator happy with last Sunday ?,It was a good day with mom .,31370
What may be a fact about the speaker ?,They have an awful memory .,28323
What may happen after I found a random building to explore ?,I entered the building to find out what kind it was .,49123
The main purpose of the passage is  _  .,to persuade universities advertise at Easyuni.com,17662
The boy knew everything   _   .,only some time later,5856
A blueprint made before inviting a friend to dinner is used in this passage as   _  .,an illustration of how to write an application for a job,22331
Why did Heechul feel surprise ?,Because Hankyung was behaving in a strange way .,7522
Who was driving the Ford truck?,the agent,24164
Who bawled all day?,The nurse,22923
"According to the writer, one of the purposes of teaching English is to get students  _  .",to enjoy poetry.,15629
How long does the introductions probably takes?,Five minutes,56323
The Hopeless Ant wrote the letter to   _  .,ask for advice seriously,2793
What may be true about the past ?,I was happier doing creative things .,52093
What was the pleasant surprise about this spot ?,I found there are fewer people because there is no parking there .,29570
What plays the most important role in keeping people young according to Shen?,People's good kidney,12359
What measures will carmakers take to deal with the situation mentioned in the passage?,They will open more rental services of cars in the future.,36492
What may be the reason this person does n't want to vote for John McCain ?,I care about climate change .,57993
Why may the narrator have such an unexciting lunch ?,They are trying to eat nutritious food .,11222
What is the connection between getting the car back and being able to listen to music again ?,The speaker 's main way to listen to music is through their car 's stereo system,28054
Why would someone pick up this book at the store ?,They would buy the book if they are under the impression their spouse is cheating .,46336
Why can the Antarctic cod live at the freezing temperature?,A special protein keeps it from freezing.,46692
What is probably true of Dorian?,he is calm and collected,29897
What may be a plausible fact about me ?,I am talking about a ring that fits .,3559
What would happen if the weather was n't bad ?,They would go for a stroll .,10782
What may be a fact about the speaker ?,They have different interests than their brother .,52089
Which of the following does NOT belong to the qualities of eggplant?,It is valuable and priceless.,44004
What can be inferred from the passage?   _  .,The public prefers wind energy to nuclear energy.,52699
McCurdy is NOT the first one to   _  .,fly from Key West to Toronto,37625
"According to this passage, which word can best describe Jim Hawkins?",brave,33227
Feedback usually lasts,days,41510
What sort of behavior type do they tend to possess ?,They tend to shy away from large groups,8494
What can be seen as committing the U.S. to Afghanistan indefinitely?,Trump's strategy.,26086
Why would the narrator not submit their work again ?,They are afraid of rejection .,28551
What will the narrator do with their comics ?,None of the above choices .,27616
Growing up is a wonderful thing because   _  .,people can become more and mature and wiser.,6546
The advantage of the alliance lies in   _  .,its global service network,35281
What may be a valid reason I am so dishonest ?,I wish to meet more civilians .,51254
How did you feel after using the new component on your truck ?,I felt great knowing it could fulfill my lifting needs .,38597
Why did Hava 's mother pass away ?,None of the above choices .,29011
Rhyming poetry is sometimes hard to write because you need to choose  _  .,rhyming words with meaning,59866
What makes Grimsvom different from other volcanoes?,It is below ice.,4396
What is the narrator griping about ?,Air travel .,55452
Where is David going to learn how to use a computer ?,David is going to learn to use the computer both at home and at school,44900
"The best title for this passage should be ""  _  "".",What We Should Do in Earthquakes.,3083
What can we learn about the two little brothers?,They supported each other in different ways.,42243
"When the narrator starts working on the code , how can he be described ?",He is clueless .,40684
What is the advantage of renting videos?,There's no strict limit to the viewing time.,21175
"What is the reason I""m going to Austin with some of the guys ?",I am scared of B.,39647
What may be the reason it will take a whole lunch time .,The court process is complicated and takes time .,31032
"During the dinner, what did they talk about?",Each other's daily life.,27744
What will probably happen after this dealing of cards ?,The person will win collect all the money due to the strong cards he pulled .,38741
"If someone wants to apply for the job, he must  _  .",submit his applications by 12/04/2016,47604
We can tell from the RTUGC that  _   .,four of the top ten universities in 2014 are from Mainland,31120
"To be beneficial, exercise for older people should",increase the heart rate.,26270
Who notes how lush the property is with fruit when she goes to Canto del Maggio?,The narrator,13387
Why am I telling myself it as an interesting day ?,I am trying to act like I am cool headed .,14986
The text suggests that in the future we  _  .,may have to fight against more new diseases,20635
What topic is the passage mainly concerned with?,Our first impressions on a stranger are usually accurate.,32894
"According to the author, what causes our current and future global problems?",The fast growth of material needs.,31183
People used different kinds of things as_.,money,23031
"What is the reason that the pages "" draw you in "" ?",None of the above choices .,38080
The passage makes us believe that   _  .,the two new sharks are younger than the former ones,7276
What is the best title of the passage?,The advantages of hugs.,10373
What can be learned from the passage?,Parents should try to understand their teenagers.,10018
Malala was shot for the reason that   _  .,she appealed for girls' rights to education,54750
What was the need of money ?,she   will   cab home after grocery shopping .,49587
How long will the summit last?,A few days,31637
"According to the passage, which of the following is WRONG?","Whatever new words you meet while reading, never use dictionaries.",25385
"Which of the following best completes the sentence ""Geez, if it could happen to him, ..."" (Line2, Para. 8)?","it could happen to me, too",10621
"If you are going to a job interview, which of the following is a proper behavior?",Smiling truly toward the people you will meet,27545
"When Johnson said he had an injection in his neck each evening, he really meant that   _  .",he liked drinking a glass of whisky in the evening.,13239
What app was used in the article?,A dating app.,21876
"If you want to take a bus in the evening rush hour, you should take the   _                         in the Railway Station, New York City on Monday.",5:45 p.m.,2202
Why couldn't Roland kiss Nicolette?,because he still loved Diane,51625
It can be inferred from the passage that Holiday     .,was famous for her voice and way of singing,8885
What country is Andrei Lankov an expert on?,North Korea,19096
Who did Slawek send sms messages through John of the Disk?,not enough information,36856
"To protect themselves from attack, birds will   _   .",come close together,48653
"From the passage, we can know the author must feel   _   before they left their hotel.",tired,50176
What may happen to him if his father did n't die when he was 15 ?,He may not spend the money as early and the way he wanted .,18642
What can we know about the author's past life?,He refused to make friends with strangers.,59002
How does the writer feel about his mom's family now?,The writer is probably okay with the immediate family after things blew over.,17623
"From the passage, we can infer that   _  .",the author and her grandson loved each other very much,18624
What may be a plausible fact about Miranda going to homecoming .,Miranda is n't planning on going to homecoming .,56368
When did Commissioner Cecilia Malmstrom say that the tariffs were illegal,After they took effect,10413
The writer's purpose in writing the text is to   _,analyze an education problem and give opinions,38342
Why would the narrator travel with K to Wyoming ?,It was for Thanksgiving .,44161
What would be the best title for text?,A brother like that,22024
"When John Roebling had the idea of building the bridge,   _  .",many experts thought it impossible,26948
Who was the financial director of the author's company?,Bully #2,33620
We can infer from the passage that  _  .,Mother care how her child felt and gave her the ability to see beauty even in the face of adversity,58510
"Which is the closed meaning of the word ""tattered"" ?",ragged,33001
After leaving the bathroom he is,confused,39094
What is true about me ?,I believe in God and evolution .,8833
What may be a fact about this situation ?,Someone is teaching how to make an apple pie from scratch .,15549
We can infer from the text that   _  .,life was hard for the young family.,4553
why does this story probably occur?,this happens because they were overruled by invaders,48206
What may happen if the Dare Tradition did not exist or happen,Our piece of the story would not be shared,22097
"From the passage,we can conclude that  _  .",many other Third World countries are suffering a population growth rate now,49912
What's happening to the West Antarctic ice sheet?,It is melting from both sides.,37660
What's the best title for the passage?,A little boy makes a big difference to others,27832
Whose saying supports the idea that patience makes a person joyful?,Chinmoy's,1822
What is the trouble with American companies opening chains all over the world?,They have negative effect on a country's culture.,19954
What is probably true about VOA contributor Greta Van Susteren,She wants to know how Trump plans to ensure that the agreements in the document will be met,8013
Why is the narrator expressing such reverence while in the club ?,There is a national item playing .,38460
"The buzzard is called the ""flying garbage can"" because it   _  .",eats waste and dead animals,51032
You may read this advertisement most probably   _  .,on a web page,23179
How long did the author take to wash his or her hair?,a few minutes,9449
It can be inferred that in the end the author and Sharon   _  .,became good friends again,2168
What kind of advice does the text suggest about apologizing?,It's a good idea to write a letter of apology as soon as something goes wrong.,51018
Why did I hang up on Steve ?,"It was an accident , it 's not like I did it on purpose or anything .",18501
"To enjoy pleasant-smelling flowers, you might visit   _  .",Bon Stewart,4058
What is the official suggestion of drinking alcohol?,Moderate alcohol drinking can be accepted.,25246
What is the narrator offering feedback on ?,They are offering feedback on software .,6631
Why am I feeling anxious ?,I am poor and barely able to afford living .,25338
What is probably true about the narrator?,They love cooking,2656
What will happen with Jan and the narrator ?,They will go their separate ways .,31148
The author mentions the functions of science at the beginning of the passage to   _  .,explain why many writers use science in their works,14032
What mood would one describe the narrator being in ?,The narrator is feeling nostalgic .,21140
"On one's birthday, before blowing out the candles, he or she will  _  .",make a wish,40074
What religion was the narrator raised in ?,The narrator was raised in Christianity .,28871
Why is the narrator feeling particularly large ?,They just ate fried food .,10868
What is probably true about the criminal justice reform organization?,They don't like tough-on-crime policies.,10622
The passage is most probably a  _  .,science news report,12876
What is probably true of an unsuccessful academic:,They don't time-block.,3616
Which of the following is NOTtrue?,In foreign countries only women take part in tug-of-war.,50447
Why was the atmosphere at the event so festive ?,It was a birthday .,45568
Why has texting suddenly become 50 times less frustrating for the speaker ?,They have upgraded to a new phone that is much easier to use than their old one,58142
what is probably true about anti-government groups?,they are racist,16284
Why was the speaker unable to blog while on vacation ?,It was difficult to find an internet connection while they were on vacation,7921
"From the passage, we can imagine that people watching a film about the North Pole would probably want   _  .",a hot drink,7628
The diversities of eggplant reflect in many aspects EXCEPT   _  .,nutrition,32893
What do we know about the lunar eclipse from the passage?,The total lunar eclipse ended at about 6:56 a.m..,38334
John was eager to know the former owner of the book because_.,he was impressed by the notes written by the owner,26895
The Indian chief's purpose of writing the letter seems to be to   _  .,show their pride,50748
Why did the author have a brainstorming session?,because an idea was needed to use a pumpkin,32189
"According to the article, what causes a star to die?","As its gases run out, it cools down.",48538
"According to the passage, Conwy's Town Walls  _  .",were built for the purpose of defense,24588
Which of the following shows the differences between Dickens' books and television dramas?,The television dramas are more exciting than the books.,2054
Why did the doctor perform a C- section on the writer's wife?,not enough information,55762
It can be inferred from the story that five feet eight inches tall is    _    .,an average height for an adult,33773
What was most likely true about Tavarius?,He has bad dental hygiene,20147
The car was stopped after:,A police chase and it ran out of gas.,44725
Which of the following shows the right way in which lack of sleep causes weight gain?,more ghrelin and less leptin-feeling hungry-eating more,1757
What was the sixteenth General Assembly's goal?,To help newly developing countries to develop.,38527
Who would coach online?,not enough information,24670
"From the whole passage, we can know that  _  .",the pupils had to stay at home before the alternative classrooms were found,33945
What is probably true about the man?,It's very likely that he would cheat on a partner again.,12439
The passage is written here to show that Lennon has   _  .,lasting appeal,28400
Which of the following statements is TRUE about the blocks in Rio de Janeiro?,They are always wearing costumes or special T-shirts with themes or logos.,36645
What might happen on this person 's birthday ?,They get a set of drums .,41403
Food poisoning can be caused by all the following EXCEPT  _  .,low temperatures,2444
Why was the narrator frustrated?,Because peer reviews are unfair,44527
What forms the central zone of Halong Bay?,The concentrated zone of stone islands.,3090
What happened before you decided to enter the clinic to improve your weight ?,None of the above choices .,43102
"Immediately after this story ends, Marie believes",Chloe is an attorney,976
What is the best title for the story?,The lesson of the cocoon,42552
"From the passage,we can learn that   _  .",the football clubs are likely to buy some of the BBC's offices,45559
What would need to happen for this scenario to be possible ?,The speaker needs to buy a house,50731
Which of the following suggestions will the author not agree with?,We should make more strict regulations to force students to study hard.,16517
The best title for the passage might be   _  .,Life at Home in the Year 2040,27473
Sometimes the water tanker doesn't come because   _  .,there is no electricity,30086
"68. Why are machines painted orange in some factories, according to the passage?",Because less accidents happen due to the introduction of orange machines.,29619
What are some ways to describe Stuart's personality?,not enough information,31416
What might I do now that i realize it 's time to get serious again ?,I might get on a diet and start exercising .,28920
What was Chloe trying to do?,convince people she was a lawyer,42009
What will likely happen after this passage ?,The narrator will observe a religious holiday .,48069
"When invited out for ""supper"" a few weeks later, the writer    _   .",expected to be served a proper dinner,38067
Why may the narrator be nervous that she throws up ?,School is causing her stress .,17001
It can be inferred from Para. 3 that   _  .,many Americans choose to live out of urban areas,57658
What did the narrator watch that one night ?,They were watching wrestling .,22166
The negative influence brought by the traditional agriculture is  _  -.,more living space occupation,45361
What may be the reason for them basing their trip on Phoenix ?,Because family lives there .,42528
Robert Spring spent 15 years   _  .,as a forger,38645
"After the story is finished, the speaker is probably going to:",Gossip more with his friends,58652
What may be a plausible fact about hurricane Gustav ?,"It did some damage , but not anything severe .",33241
Father's Day was started just because  _  .,there was a Mother's Day,28526
Which of the following statements might Robert Eres disagree with?,People who are more rational have been found to have more gray matter in their brains.,6050
Who were killed on February 5 in a small town near Johannesburg?,Chen Jianqing and one of her partners,23350
How did the officer probably feel after driving the man home?,"Tired, but like he did a good thing.",46552
What is the author's purpose in writing this article?,To show the most effective way to lose weight.,14787
What did Trump think of Sen. Mark Warner the top Democrat on the Senate Intelligence Committee?,not enough information,4872
What we can learn from the passage is that  _  .,Boryeong Mud Festival was originally held to advertise for their mineral resources,19322
What does the writer think we should do?,We should be thankful to others' help.,38855
Why does the narrator not like George W Bush ?,They do n't like their stance on the death penalty .,5548
What is one trait that is immediate apparent about the poster ?,The poster is an animal lover and adores their cat .,4937
The main idea of the passage is that   _  .,thirteen-year-olds have special problems,35510
"According to the latest issue of the journal Heart & Lung, which of the following is tree?",Improvement on the verbal fluency can be achieved by working out with the music.,8987
Why do I commend this speech so much ?,I like J.K. Rowling so I think her speech is meaningful .,42596
"According to the passage, if you keep feeling angry for a long time,     .",you will gradually lose control over your mind and your health,40566
What was the name of the Maid of Honor:,not enough information,25474
Which of the following statement is NOT true?,Bruce wanted to make friends with him because he gave him his business card and home phone number.,58095
How does the narrator feel about their current situation ?,They are overwhelmed .,25514
What did the child do that was amazing ?,She said her abc 's .,44478
Did I have a good time attending the wedding ?,"Yes , it was beautiful in many ways . I 'm glad I went",13747
_   taught her the first word.,Hellen's teacher,1831
How did the author feel when she found some Chinese foods in a supermarket?,a bit comfortable,38688
The author's description about the passage is   _  .,objective,42401
how many nuclear missiles does North Korea have?,not enough information,53730
What does the passage mainly tell us?,Being slightly overweight may bring some health benefits for seniors.,5234
What's the purpose of writing the passage?,To introduce the US Secret Service to us.,22591
The secret of a writer's success is the use of words that   _  .,recall to us the glad and sad events of our past,41912
The author failed to get through in the phone box at his first attempt because  _  .,he didn't realize it was a pay phone,58204
What may be the reason to write this post ?,To write a user review,58940
When did Tilda Swinton start the Drumdruan Upper School?,not too many years ago,18026
Who was legally required to take all classes a normal kid took in high school?,the author's second client with spastic quadriplegia,22821
What does the World Book Day survey show?,Nearly half of the people surveyed didn't read through a whole classical book.,53279
When did Ray talked to an attorney?,just after three,59185
How could they hear the ocean while they slept ?,Because they stayed at a hotel close to the ocean .,6173
"By saying ""There is nothing like a good story for breakfast"", what does the writer mean?",It is jokingly suggested that old paper can be the best breakfast.,56552
Which is the best title of the report?,A,38429
Which of the following does Ms Rogers say she will NOT be able to provide?,Pop-up displays.,177
What is true of Kadin after the end of this excerpt?,He is mounted,23151
When will the leaders of North and South Korea meet?,Friday,19656
Which of the following may trick a shopper into buying a product according to the text?,The color of its package.,35809
It can be inferred from the passage that the author believes   _  .,in many countries success often depends on one's social status,24793
What could one say about the presentation of the narrator ?,They are demanding .,57773
What agreement did China and the United States reach in article 3?,It is an agreement on intellectual property rights protection.,4888
"The status of ""natural monument"" means   _  .",you can't catch them for food,33526
When did the person become a Catholic?,before the person had a family,58265
What may Regina feel after they placed her back on the ground .,She was relieved the interrogation was over for now .,54725
why was the event a bust ?,A bunch of acquaintances that were impolite did not talk to one another .,32934
Why am I probably going back to school ?,I am a teacher,12968
What may happen after their training sessions ?,They will get a job as a lifeguard .,21077
What might have I done with the huge army trunks ?,"Whatever I did , I must have had the most pleasant experiences with them .",59041
A Frenchman signed to the waiter  _  .,to ask him for food,145
What may be the reason for liking shoes and not buying them ?,They ca n't afford them .,55007
Which of the follwing services might not be offered by the travel agent?,Taking care of your house.,27124
In which place can you get a free gift for buying two tickets?,Asia World-Expo Box Office.,47635
From the advertisement we can learn  _  .,Collectors Club is among the biggest clubs in this country,40591
"When the author goes to bed, she  _  .",can't fall asleep,13729
Why was the woman thinking so long about the spanking issue?,Because she wanted to avoid abuse in her relationship,11903
"Why might I be posting about this harmless , little old man ?",I find him to be amusing and a bit interesting and wanted to share the story .,34446
Which is the benefit for beautiful people?,Good-looking people are often regarded as having many good qualities.,43578
Why did I lift so much weight when I was younger ?,I wanted to be lean and fit and look attrative for the girls .,47164
What may happen as i look back at it ?,I understand how i used to be .,27890
Did I remember my keys ?,"No , I left them behind unfortunately .",58226
How long has Cohen represented Trump?,at least a decade,35125
This passage might be taken from   _  .,a literature novel,14786
Elijah's parents try to raise money to   _  .,process his hair into a wig,19438
Why is the narrator so surprised with the jeans they have ?,The narrator feels there is great discrepancy in sizes .,1276
What may I do on Sunday ?,Sleep in as long as I can .,33893
What did Edeen say about recycled urine and the recycling system?,It takes a longer time on earth to make water from urine than in space.,5607
Which of the following best reflects the author's opinion?,We can never be too careful with the volume level of music.,46048
What might the narrator be suffering from ?,The flu,9639
Most of women's colleges were established  _  .,to give women the education they could not receive anywhere else.,50428
What may be the reason for this discussion ?,They want others to count their blessings .,52843
"The story does not say so, but it makes you think that.",there is more than one way to paint,14260
Which of the following statements is TRUE?,A new concrete bridge could last 50 more years than an ordinary concrete one.,16294
What kind of subjects is the narrator interested in ?,The narrator is interested in foreign affairs .,40464
What legislation rebuilds the US military?,$1.3 trillion spending plan,55867
The passage is mainly about   _  .,some general information about VJs,28625
What can we learn from this passage?,Culture is a must for learners of foreign languages.,21105
Why do some people think writing is difficult?,They don't think writing can be learned.,34452
"Shellie has a free time after she leaves work, so she can buy  _  book to kill time.","Strange Stories, Amazing Facts of America's Past",49549
What kind of article does this passage belong to?,A book review,33361
The amount a donor gives in Canada a year is that a donor gives in China   _  .,about 4.5 years,7994
Who believes the narrator should stop drinking?,Jenny,49600
What is probably true about the author?,he doesn't like protein supplements,6140
Why is the person bleeding ?,Because the person bite his tongue,50860
What is David Chadwell's attitude toward separating elementary-age boys and girls while learning?,Supportive,11588
Which is true of the narrator ?,The narrator was in a fight .,9225
In which sections of a magazine will readers find the passage?,Reading hour,24085
What is the main message of the text?,Motivation and teamwork achieve goals.,41242
College friends are often the best to you because  _  .,your family are far away while college friends are around you within an easy reach,49881
"In many Western countries, cooking has traditionally been a job that:",Females do more often than males.,32998
What will the narrator do after the friend they were having conversations with leaves their girlfriend ?,They will start a relationship since they have so much in common .,53459
What is our lady like usually ?,She 's usually confident .,39604
Why was the narrator gifted a key chain ?,They got a question right .,1300
"Using the example of Eastman Kodak in Colorado, the writer shows us   _  .",what role the business plays in the program,40832
The initial aim of starting the Children's Development Khazana is to  _  .,safeguard homeless children's hard-earned money,20729
How does the narrator probably feels about his wife?,He loved her very much and was devoted to her.,22604
"The book entitled Thank You, Mr. Falker is about",Polacco's early experience with reading,47115
How many healthy foods does the author mention in the passage?,Six,29937
"By saying ""wanted the best for her"", the author means that  _  .",he had done everything he could for Carmen,17456
How does Trump feel about Kim?,He cannot be completely trusted and must prove his word,37330
Teachers choose balls instead of chairs because sitting on balls helps the kids   _  .,Both A and C are correct answers,30788
We can learn  _   from the passage.,left-handers can sometimes be more gifted in music and maths than right-handers.,10565
"From the passage, we can learn that   _   is the most wonderful program of every year.",the match of the end-year ball,26818
What 's a possible reason the writer was very productive ?,Because they were motivated to get things done .,31648
Which of the following statements is true?,The book tells teens how to face changes in their lives.,19644
Why did the author tell her to use a different image ?,Because she was getting too frustrated working on the Elizabeth Bell images .,52232
What is causing the narrator to quit their job ?,They have to go to clinicals instead .,31933
What genre of movie is advertised ?,Porn,55338
Why would you not want to get caught staring at the blonde ?,She might not like him .,7184
42. Condoleezza Rice was not included in the list probably because    _   .,she exercised less influence,56332
The cooks in Qingfeng Restaurant are very busy because   _          .,Xi's visit made this restaurant extreme popular among consumers,23801
What happened before they got horribly sick ?,"Before they got horribly sick , they combined some foods that did n't agree with them .",30172
How does the professor at U of M know that multitasking doesn't work?,There have been multiple published studies proving it,14645
"From the story ,we learn that Hilary's aunt was   _  .",kind-hearted and wise,27827
Why does the author mention 007's money belt?,To persuade tourists not to show others where you keep your money.,3056
"According to the text, how can people from different cultures understand each other better?",By recognizing different values.,36591
What is the solution to the water problem for a long time?,Control the population,29608
The purpose of the passage is to   _  .,explain what influences a person's sense of humor,53255
Why is the writer scared to love Greg ?,Because she is afraid of getting hurt .,26460
What can be inferred about the author's family before the transplant?,His father was a bad-tempered man.,25130
Why do I search for mortages ?,I do n't have all the money at the moment .,45751
Why am I eating so much all of a sudden ?,"Actually , it could be a couple of reasons but I 'm not too sure .",12658
What did I realize about myself after this weekend .,I do n't always have to think everything through well in advance,46159
"According to the passage, people's happiness in shopping lies in   _  .",the physical reaction of their own,53818
We learn from the text that Martha Graham is   _  .,a dancer,45600
Where was the speech probably given?,At a conference representatives of countries attended.,18384
It can be inferred from the story that Michael and Joe   _  .,shot and killed Mr. Ward by accident,24015
What may be a fact about the speaker ?,They are a new student at a college .,13876
Who lives west of town about one mile?,Kraamer,845
Which of the following is TRUE according to the passage?,Newer studies show gases may have more effect on sea ice in the Arctic Ocean.,54598
What may happen if I answered 55 instead of 10 ?,He may repeat the question slowly .,21966
Why would the narrator be so tired the next day ?,They got intermittent sleep .,23843
What's the purpose of writing the passage?,To call our attention to the sports at school.,41551
What type of material may the narrator look to ease back on ?,Coffee .,3894
"According to Para.4, lessons about nature  _  .",are liked by students,45078
"What did George Bernard Shaw mean by saying ""England and America are two nations divided by a common language""?",There is sharp difference between England and America despite their common language.,20854
What type of education is the narrator getting ?,The narrator is in university .,53254
"The underline words ""that northern location"" probably refer to  _  .",New England,11215
What will happen if Sandy follows through with her plan ?,The family will lose income .,24999
In what state do I live ?,I live in the state of Michigan,7548
What is the best title for the text?,I Can't Hear You,27641
What's the ranchers' attitude to reintroducing gray wolves in Colorado?,Worried,34789
Am I in support of tax breaks for the wealthy ?,"No , they do n't seem to change things",51291
Dr. Andrew McCulloch agrees that  _  .,our diets are closely related to our mental health,58268
After the end of the story the author probably:,continues to view artwork on a regular basis,36240
Who authored Gardens of the Resaissance?,Bryan C. Keene,59153
"Many girls, the passage says, are now likely to  _  .",continue working until they are going to have a baby,11019
Why would the narrator prefer the younger dentist over the more experienced one ?,The younger one is more soft with the work she does .,39942
Why should we not feel embarrassed when talking to ourselves?,Talking to ourselves is believed to be good for our health.,38683
What is the narrator discussing with others ?,They are discussing occult .,43581
What might the speaker have planned for Baden ?,A birthday party .,59830
The text is mainly about  _  .,a babysitter rescuing kids from a big fire,15413
Which of the following can NOT be concluded from the passage?,Earthquakes are impossible at depths over 460 miles.,21384
Why would the narrator be fond of Todd ?,Todd helped her in the bath .,40888
What did the man find when he showed his cave to the old man?,A chest filled with jewels and some gold.,55238
Researchers focused their attention on small farmlands for the reason that    _   .,most farms in areas south of the Sahara Desert are small,45486
The author believed that   _  .,China was sure to become stronger and stronger if only we have that spirit of the Chinese Women's Volleyball Team,15709
When did trump decide to withdraw from the Iran nuclear agreement?,on Tuesday,24847
Who was to blame for knocking off the stacks of cartons?,The woman.,36990
It can be known from the report of the US Department of Education that   _  .,guns are out of control in US schools,15812
Who met with North Korea leadership in hopes of turning a new chapter,David Beasley,21468
What may they have done as they passed the country side ?,They took out their camera and took plenty of photos .,57277
"I knew my grandfather was kind and gentle, because   _",he let me sit on his knee and told me stories.,39111
Why were supplements studied?,To see if they had a benefit for the average adult,46549
We can learn from the passage that    _   .,clouds help the plants in the rain forest near the deserts to grow,47723
"According to the text, the competition is   _  .",mainly to test the candidates' Chinese language competence,46720
How would I have felt if I did n't play tennis with my mom ?,I would have felt bored .,15941
Your wearing a special clothes for dinner shows that   _  .,you are a person with good manners,56491
Which is NOT a reason for the changes?,It's too dangerous to play outside,38258
Where did Sarah smoke?,in the dormitory,35397
The chief factor in preventing unfairness is to   _  .,observe agreements,28636
We can infer from the passage that   _  .,it is the math problems related to the stories that make the great difference,33648
"According to the story, children who don't speak English  _  .",may have more trouble in school,20774
We can learn from the passage that   _  .,US employers value their job applicants with a degree from top universities,34809
What is probably true about the author?,Regularly writes about relationships,37193
What did the author and her companions mainly do in Chicago?,They enjoyed famous local foods.,58995
Which of the following is NOT true?,Bush wishesChinato take the lead in coping with the present crisis.,50215
"Remembered history""refers to_.",stories of important happenings passed down from mouth to mouth,25672
What country may I currently be in ?,Italy,51037
What may happen on a Friday night ?,The players and coaches all got together .,24722
What will most likely happen as the writer continues to run ?,They will be able to run for longer periods .,41590
What might be concluded about my political activities ?,I might be involved in representing Cubans and Cuban American interests .,23785
What' s TRUE about Tan' s second book?,It is the result of many times of carefull thought.,23396
What was notorious all over Texas?,The Preacher's drug operation,18209
What type of culture does the narrator seem interested in ?,They are interested in Japanese cartoon culture .,44551
Why is the narrator explaining her likes to her children ?,The narrator wants to express a desire to get some down time .,44215
What was probably wrong with the corpse?,He had one leg,29626
"At the end of the story, if you follow the authors guidance, you will probably",sell your house,18059
What may have happened before this ?,I got an alert about the situation .,44580
The story was an amazing coincidence  because  _  .,the writer found both the wallet and its owner,35711
Why is the speaker with a baby ?,Because they are babysitting their niece .,4375
The countries in the 16th Asian International Art Exhibition are all in Asia except  _  .,Australia,4572
"In the years after World War Two,many Americans prefer to  _  .",1ive in the suburbs,58148
Why did Owens come up with the idea of doing business?,Because he drew inspiration from Steve Jobs.,38716
"According to this story, the soldier   _  .",satisfied the king once,3209
